Date,New Cases,Percent of Total Fully Vaccinated Pop with Booster Dose (%),Average Temperature (°F)
2022/1/1,35752,34.4,53
2022/1/2,136970,34.5,48
2022/1/3,58943,34.8,29.5
2022/1/4,68215,35.2,26.5
2022/1/5,60886,35.6,39
2022/1/6,87742,36,37.5
2022/1/7,37816,36.4,29.5
2022/1/8,42541,36.6,25
2022/1/9,162708,36.7,34.5
2022/1/10,50390,37.1,32
2022/1/11,47923,37.4,19.5
2022/1/12,62936,37.7,30
2022/1/13,40999,38.1,41
2022/1/14,27587,38.5,32
2022/1/15,24816,38.7,15.5
2022/1/16,89096,38.8,23.5
2022/1/17,25643,39,39
2022/1/18,23143,39.2,32.5
2022/1/19,24762,39.5,38.5
2022/1/20,28940,39.7,34
2022/1/21,16021,40,18
2022/1/22,14221,40.1,21
2022/1/23,38845,40.2,30.5
2022/1/24,15022,40.4,31
2022/1/25,14482,40.6,35
2022/1/26,16274,40.8,24
2022/1/27,16081,41,24.5
2022/1/28,8558,41.2,30.5
2022/1/29,7932,41.2,20.5
2022/1/30,14160,41.3,19
2022/1/31,6603,41.4,26
2022/2/1,7366,41.5,29.5
2022/2/2,9547,41.7,39.5
2022/2/3,8833,41.8,47
2022/2/4,5127,41.9,41.5
2022/2/5,4668,42,23
2022/2/6,9444,42.1,23.5
2022/2/7,3882,42.2,33.5
2022/2/8,5014,42.3,38.5
2022/2/9,7176,42.4,37.5
2022/2/10,5697,42.5,45.5
2022/2/11,3244,42.7,47.5
2022/2/12,2858,42.8,50.5
2022/2/13,5800,42.8,33.5
2022/2/14,2292,42.9,20.5
2022/2/15,2798,43.1,23
2022/2/16,3430,43.2,38.5
2022/2/17,4650,43.4,58.5
2022/2/18,2681,43.6,45
2022/2/19,2086,43.7,31.5
2022/2/20,4126,43.8,28.5
2022/2/21,1468,43.9,43.5
2022/2/22,1873,44,49
2022/2/23,2731,44,51.5
2022/2/24,2486,44.1,32
2022/2/25,1523,44.2,33.5
2022/2/26,1442,44.3,30.5
2022/2/27,2863,44.3,38
2022/2/28,1334,44.4,31
2022/3/1,1290,44.4,39.5
2022/3/2,2304,44.5,46
2022/3/3,2220,44.5,36
2022/3/4,1284,44.5,29
2022/3/5,1275,44.6,39
2022/3/6,3233,44.6,55.5
2022/3/7,1018,44.6,62
2022/3/8,1256,44.6,44.5
2022/3/9,2036,44.7,37
2022/3/10,1806,44.7,42
2022/3/11,1438,44.7,47.5
2022/3/12,1004,44.7,36
2022/3/13,2977,44.7,28.5
2022/3/14,2127,44.8,44.5
2022/3/15,2247,44.8,57
2022/3/16,2135,44.8,57.5
2022/3/17,2300,44.8,49
2022/3/18,1287,44.9,62
2022/3/19,1601,44.9,59.5
2022/3/20,3768,44.9,53.5
2022/3/21,1268,44.9,53
2022/3/22,2460,45,50.5
2022/3/23,4115,45,43.5
2022/3/24,3952,45,42.5
2022/3/25,1360,45,52
2022/3/26,1775,45.1,47.5
2022/3/27,5078,45.1,37
2022/3/28,2235,45.1,28
2022/3/29,2837,45.1,31
2022/3/30,4440,45.2,38
2022/3/31,4018,45.2,55.5
2022/4/1,2394,45.2,52
2022/4/2,2377,45.2,46
2022/4/3,6535,45.2,44
2022/4/4,2541,45.3,46.5
2022/4/5,3213,45.3,51
2022/4/6,5123,45.3,48.5
2022/4/7,5995,45.3,49.5
2022/4/8,3427,45.4,57
2022/4/9,3263,45.4,51
2022/4/10,9640,45.4,46
2022/4/11,3828,45.4,50.5
2022/4/12,4650,45.4,61
2022/4/13,6737,45.5,63
2022/4/14,7349,45.5,68
2022/4/15,4217,45.5,61
2022/4/16,4265,45.5,58.5
2022/4/17,10029,45.5,46
2022/4/18,4616,45.6,46.5
2022/4/19,6000,45.6,44.5
2022/4/20,6815,45.6,51
2022/4/21,8192,45.6,51.5
2022/4/22,5245,45.6,61.5
2022/4/23,4086,45.7,58
2022/4/24,9752,45.7,55.5
2022/4/25,4902,45.7,52
2022/4/26,5798,45.7,56
2022/4/27,8900,45.7,49.5
2022/4/28,9408,45.7,49
2022/4/29,5686,45.8,52
2022/4/30,5307,45.8,56
2022/5/1,12605,45.8,58
2022/5/2,5939,45.8,53.5
2022/5/3,6974,45.8,56.5
2022/5/4,9600,45.8,57.5
2022/5/5,11412,45.8,65
2022/5/6,6638,45.9,55
2022/5/7,6442,45.9,47.5
2022/5/8,18485,45.9,51.5
2022/5/9,6363,45.9,58.5
2022/5/10,8433,45.9,62
2022/5/11,12643,45.9,64
2022/5/12,12301,46,66.5
2022/5/13,0,46,64.5
2022/5/14,0,46,66
2022/5/15,24017,46,68
2022/5/16,13767,46,68
2022/5/17,10130,46,67
2022/5/18,10941,46,63.5
2022/5/19,11105,46.1,60
2022/5/20,6217,46.1,62
2022/5/21,5292,46.1,76
2022/5/22,16806,46.1,80.5
2022/5/23,6766,46.1,67
2022/5/24,7756,46.2,62
2022/5/25,9406,46.2,61.5
2022/5/26,10787,46.2,62
2022/5/27,4291,46.2,72.5
2022/5/28,0,46.2,68.5
2022/5/29,10160,46.2,68
2022/5/30,1918,46.2,73.5
2022/5/31,13824,46.3,79
2022/6/1,6183,46.3,66
